product_id,product_name,category_name,brand,units_sold,revenue,estimated_cost,gross_profit
480,TerraWorks Coffee Maker 480,Pets,TerraWorks,378,131748.12,73090.08,58658.04
130,ZenHaus Face Serum 130,Sports,ZenHaus,363,131719.87,69358.41,62361.46
210,Apex Car Charger 210,Home & Kitchen,Apex,334,131621.49,73376.46,58245.03
247,UrbanEdge Running Shoes 247,Garden,UrbanEdge,356,131529.70,76995.68,54534.02
303,UrbanEdge Notebook 303,Pets,UrbanEdge,330,130575.03,65072.70,65502.33
184,SwiftPro Pet Bed 184,Beauty,SwiftPro,330,130331.63,53585.40,76746.23
282,EverPeak Pet Bed 282,Toys,EverPeak,412,130217.14,85337.56,44879.58
461,EcoSphere Pet Bed 461,Pets,EcoSphere,343,130122.45,65152.85,64969.60
178,Apex Smart Watch 178,Garden,Apex,388,130003.03,68559.60,61443.43
66,Vividly Board Game 66,Toys,Vividly,319,128812.85,68291.52,60521.33
117,EcoSphere Bluetooth Speaker 117,Health,EcoSphere,352,128197.89,54894.40,73303.49
486,Lumina Headphones 486,Health,Lumina,376,128063.08,50034.32,78028.76
37,BlueNest Face Serum 37,Sports,BlueNest,363,128018.04,63129.33,64888.71
116,Vividly Headphones 116,Fashion,Vividly,403,127797.41,82639.18,45158.23
317,Apex Board Game 317,Automotive,Apex,416,126459.77,60648.64,65811.13
171,SwiftPro Travel Mug 171,Automotive,SwiftPro,307,126186.05,55416.57,70769.48
309,Apex Coffee Maker 309,Books,Apex,336,125561.68,48824.16,76737.52
33,ZenHaus Face Serum 33,Garden,ZenHaus,333,125352.94,64275.66,61077.28
421,Lumina Cookware Set 421,Office,Lumina,367,124563.47,47394.38,77169.09
3,CoreFlex Coffee Maker 3,Garden,CoreFlex,316,124248.27,59610.24,64638.03
302,BlueNest Headphones 302,Toys,BlueNest,319,124075.27,51642.91,72432.36
200,ZenHaus Garden Hose 200,Sports,ZenHaus,301,124000.74,53815.79,70184.95
365,EcoSphere Bluetooth Speaker 365,Books,EcoSphere,384,123818.00,76047.36,47770.64
112,Lumina Mixer 112,Office,Lumina,367,123678.91,80105.09,43573.82
296,BlueNest Backpack 296,Toys,BlueNest,402,123617.46,47966.64,75650.82
472,Northstar Pet Bed 472,Home & Kitchen,Northstar,338,123533.74,63378.38,60155.36
57,SwiftPro Pet Bed 57,Home & Kitchen,SwiftPro,333,122266.76,71461.80,50804.96
392,NovaCraft Face Serum 392,Fashion,NovaCraft,391,121962.41,46403.88,75558.53
90,Northstar Running Shoes 90,Garden,Northstar,347,121811.25,48177.48,73633.77
342,BlueNest Car Charger 342,Electronics,BlueNest,347,121014.27,63865.35,57148.92
346,BlueNest Coffee Maker 346,Fashion,BlueNest,322,120649.53,63147.42,57502.11
51,NovaCraft Car Charger 51,Automotive,NovaCraft,375,120636.15,81675.00,38961.15
274,NovaCraft Cookware Set 274,Garden,NovaCraft,383,120589.56,74378.60,46210.96
384,CoreFlex Office Chair 384,Books,CoreFlex,395,120355.34,77459.50,42895.84
46,Lumina Sunglasses 46,Pets,Lumina,351,119700.00,54106.65,65593.35
54,BlueNest Desk Lamp 54,Office,BlueNest,339,119534.12,66057.54,53476.58
395,CoreFlex Cookware Set 395,Garden,CoreFlex,329,118304.40,71850.31,46454.09
304,UrbanEdge Yoga Mat 304,Pets,UrbanEdge,300,117978.94,55767.00,62211.94
98,Apex Board Game 98,Health,Apex,313,117945.69,50173.90,67771.79
224,BrightPath Backpack 224,Books,BrightPath,361,117757.16,50843.24,66913.92
70,BrightPath Backpack 70,Toys,BrightPath,308,117538.02,63937.72,53600.30
489,SwiftPro Face Serum 489,Garden,SwiftPro,370,117018.56,44840.30,72178.26
180,TerraWorks Notebook 180,Toys,TerraWorks,407,116869.67,69356.87,47512.80
464,Apex Running Shoes 464,Sports,Apex,359,115837.85,56208.63,59629.22
287,UrbanEdge Sunglasses 287,Toys,UrbanEdge,331,115615.68,51142.81,64472.87
230,NovaCraft Yoga Mat 230,Health,NovaCraft,369,115601.42,56088.00,59513.42
68,SwiftPro Headphones 68,Health,SwiftPro,359,115364.41,50080.50,65283.91
276,CoreFlex Water Bottle 276,Office,CoreFlex,395,114522.20,57211.80,57310.40
377,EverPeak Notebook 377,Garden,EverPeak,364,113971.22,49554.96,64416.26
359,Vividly Car Charger 359,Pets,Vividly,355,113542.23,56995.25,56546.98
413,SwiftPro Backpack 413,Garden,SwiftPro,317,113481.59,60182.45,53299.14
314,BrightPath Car Charger 314,Electronics,BrightPath,377,113085.56,70925.01,42160.55
446,NovaCraft Coffee Maker 446,Home & Kitchen,NovaCraft,330,112846.53,51546.00,61300.53
179,BlueNest Pet Bed 179,Health,BlueNest,344,112553.91,68755.28,43798.63
152,BrightPath Smart Watch 152,Home & Kitchen,BrightPath,311,111942.15,52823.35,59118.80
405,Vividly Travel Mug 405,Books,Vividly,401,110862.05,46772.64,64089.41
473,Vividly Cookware Set 473,Electronics,Vividly,367,110813.90,53515.94,57297.96
257,Purely Board Game 257,Sports,Purely,294,110467.60,56959.56,53508.04
164,UrbanEdge Headphones 164,Fashion,UrbanEdge,337,108176.82,59824.24,48352.58
127,BrightPath Headphones 127,Pets,BrightPath,369,108176.74,54600.93,53575.81
220,ZenHaus Sunglasses 220,Toys,ZenHaus,389,107963.14,53510.84,54452.30
366,Vividly Pet Bed 366,Home & Kitchen,Vividly,373,107659.13,79762.32,27896.81
454,Apex Backpack 454,Office,Apex,368,107643.16,53764.80,53878.36
391,Apex Garden Hose 391,Health,Apex,335,107338.89,60323.45,47015.44
430,UrbanEdge Notebook 430,Fashion,UrbanEdge,391,107115.36,78442.42,28672.94
28,TerraWorks Mixer 28,Health,TerraWorks,338,107069.57,74282.26,32787.31
177,UrbanEdge Headphones 177,Fashion,UrbanEdge,388,106366.21,45787.88,60578.33
137,NovaCraft Board Game 137,Toys,NovaCraft,326,106304.34,66728.94,39575.40
19,UrbanEdge Water Bottle 19,Fashion,UrbanEdge,340,106113.75,48008.00,58105.75
305,TerraWorks Smart Watch 305,Sports,TerraWorks,373,106064.61,50205.80,55858.81
484,EverPeak Headphones 484,Office,EverPeak,328,105904.07,60742.32,45161.75
249,Northstar Water Bottle 249,Fashion,Northstar,341,105338.65,47020.49,58318.16
26,TerraWorks Desk Lamp 26,Home & Kitchen,TerraWorks,331,105064.79,69877.41,35187.38
93,BrightPath Sunglasses 93,Pets,BrightPath,329,104931.98,52383.38,52548.60
156,EverPeak Water Bottle 156,Office,EverPeak,344,104892.81,53615.84,51276.97
238,Apex Yoga Mat 238,Fashion,Apex,368,104657.50,80500.00,24157.50
110,Apex Yoga Mat 110,Sports,Apex,407,104633.89,40879.08,63754.81
95,Purely Mixer 95,Fashion,Purely,347,104623.84,57525.66,47098.18
5,UrbanEdge Coffee Maker 5,Sports,UrbanEdge,394,104462.04,57161.52,47300.52
160,BlueNest Pet Bed 160,Books,BlueNest,390,103462.73,66686.10,36776.63
162,ZenHaus Running Shoes 162,Beauty,ZenHaus,360,103258.70,56102.40,47156.30
284,Purely Face Serum 284,Garden,Purely,300,103096.28,44211.00,58885.28
485,NovaCraft Garden Hose 485,Sports,NovaCraft,353,102977.08,69996.37,32980.71
295,EverPeak Office Chair 295,Books,EverPeak,388,102579.78,47658.04,54921.74
310,UrbanEdge Smart Watch 310,Beauty,UrbanEdge,333,102131.52,39920.04,62211.48
434,NovaCraft Running Shoes 434,Health,NovaCraft,362,101874.41,66749.18,35125.23
499,Northstar Yoga Mat 499,Office,Northstar,322,101429.56,43022.42,58407.14
423,EverPeak Mixer 423,Books,EverPeak,446,101233.41,51374.74,49858.67
261,Lumina Smart Watch 261,Office,Lumina,329,101217.20,41707.33,59509.87
334,Northstar Headphones 334,Garden,Northstar,376,101021.97,38728.00,62293.97
149,NovaCraft Sunglasses 149,Garden,NovaCraft,317,100688.78,65736.29,34952.49
349,EcoSphere Pet Bed 349,Electronics,EcoSphere,385,100572.33,41075.65,59496.68
182,EcoSphere Board Game 182,Automotive,EcoSphere,414,100555.13,44645.76,55909.37
101,SwiftPro Coffee Maker 101,Electronics,SwiftPro,324,100438.18,67764.60,32673.58
449,Vividly Smart Watch 449,Automotive,Vividly,321,100418.79,54127.02,46291.77
336,BlueNest Mixer 336,Electronics,BlueNest,305,100341.37,41937.50,58403.87
80,BrightPath Smart Watch 80,Fashion,BrightPath,337,100193.47,58388.62,41804.85
279,EcoSphere Face Serum 279,Sports,EcoSphere,390,99873.90,37986.00,61887.90
147,BrightPath Desk Lamp 147,Automotive,BrightPath,348,99810.20,70525.68,29284.52
61,Lumina Backpack 61,Garden,Lumina,368,99341.25,70332.16,29009.09
437,TerraWorks Board Game 437,Books,TerraWorks,303,99192.99,50800.98,48392.01
1,NovaCraft Pet Bed 1,Books,NovaCraft,393,99076.68,63449.85,35626.83
163,EverPeak Yoga Mat 163,Beauty,EverPeak,344,98531.08,74462.24,24068.84
329,BrightPath Smart Watch 329,Beauty,BrightPath,358,98513.40,42874.08,55639.32
4,ZenHaus Running Shoes 4,Books,ZenHaus,369,98487.01,47243.07,51243.94
89,Apex Office Chair 89,Garden,Apex,304,98243.57,62496.32,35747.25
77,BlueNest Bluetooth Speaker 77,Toys,BlueNest,375,96932.51,41808.75,55123.76
175,SwiftPro Water Bottle 175,Fashion,SwiftPro,334,96928.89,39064.64,57864.25
371,Purely Headphones 371,Electronics,Purely,342,96913.67,44808.84,52104.83
319,Lumina Backpack 319,Beauty,Lumina,376,96628.63,42698.56,53930.07
439,NovaCraft Coffee Maker 439,Health,NovaCraft,332,96590.62,40301.48,56289.14
169,SwiftPro Headphones 169,Home & Kitchen,SwiftPro,351,96324.04,39266.37,57057.67
189,CoreFlex Face Serum 189,Home & Kitchen,CoreFlex,354,96294.39,70116.78,26177.61
323,Vividly Yoga Mat 323,Electronics,Vividly,342,95875.00,37681.56,58193.44
307,CoreFlex Mixer 307,Garden,CoreFlex,317,95247.13,53030.93,42216.20
199,ZenHaus Desk Lamp 199,Electronics,ZenHaus,320,95210.38,58128.00,37082.38
155,Vividly Face Serum 155,Pets,Vividly,315,95150.97,45958.50,49192.47
41,CoreFlex Pet Bed 41,Pets,CoreFlex,378,94652.90,41311.62,53341.28
165,UrbanEdge Face Serum 165,Health,UrbanEdge,328,94487.61,70132.96,24354.65
219,NovaCraft Car Charger 219,Office,NovaCraft,377,94401.01,39814.97,54586.04
471,Purely Headphones 471,Garden,Purely,327,94372.59,44763.03,49609.56
438,Apex Face Serum 438,Toys,Apex,331,94319.13,37393.07,56926.06
218,SwiftPro Desk Lamp 218,Automotive,SwiftPro,385,94219.82,49495.60,44724.22
424,NovaCraft Bluetooth Speaker 424,Pets,NovaCraft,371,94201.45,37567.46,56633.99
292,UrbanEdge Face Serum 292,Sports,UrbanEdge,360,94047.02,60872.40,33174.62
311,NovaCraft Board Game 311,Fashion,NovaCraft,374,93865.71,42894.06,50971.65
252,CoreFlex Headphones 252,Automotive,CoreFlex,317,93117.57,69565.65,23551.92
11,BlueNest Desk Lamp 11,Beauty,BlueNest,351,92399.23,52955.37,39443.86
269,Apex Board Game 269,Garden,Apex,382,92330.88,50007.62,42323.26
316,CoreFlex Pet Bed 316,Toys,CoreFlex,349,92282.31,65078.03,27204.28
468,ZenHaus Garden Hose 468,Pets,ZenHaus,338,91959.62,64710.10,27249.52
17,BrightPath Desk Lamp 17,Pets,BrightPath,315,91722.90,67375.35,24347.55
72,UrbanEdge Smart Watch 72,Home & Kitchen,UrbanEdge,359,91515.49,34593.24,56922.25
493,Apex Travel Mug 493,Electronics,Apex,372,91434.36,40395.48,51038.88
491,Purely Smart Watch 491,Automotive,Purely,414,91295.68,37106.82,54188.86
138,ZenHaus Pet Bed 138,Office,ZenHaus,314,91195.79,44399.60,46796.19
256,Vividly Backpack 256,Toys,Vividly,312,90526.64,34578.96,55947.68
367,BlueNest Board Game 367,Office,BlueNest,374,90422.94,34565.08,55857.86
278,Northstar Backpack 278,Garden,Northstar,327,90417.02,51388.05,39028.97
82,Apex Running Shoes 82,Automotive,Apex,407,90282.51,41033.74,49248.77
444,BrightPath Mixer 444,Garden,BrightPath,405,90054.98,38880.00,51174.98
236,BrightPath Mixer 236,Pets,BrightPath,358,89787.40,49819.28,39968.12
442,BlueNest Car Charger 442,Office,BlueNest,321,89350.83,67210.98,22139.85
318,Vividly Travel Mug 318,Books,Vividly,310,88608.08,57396.50,31211.58
351,BlueNest Travel Mug 351,Automotive,BlueNest,351,88553.78,51403.95,37149.83
393,SwiftPro Running Shoes 393,Health,SwiftPro,322,88480.14,35915.88,52564.26
114,UrbanEdge Smart Watch 114,Beauty,UrbanEdge,321,88078.26,65968.71,22109.55
31,EcoSphere Pet Bed 31,Beauty,EcoSphere,363,87796.32,48954.18,38842.14
223,ZenHaus Coffee Maker 223,Pets,ZenHaus,354,87737.79,38929.38,48808.41
495,BlueNest Coffee Maker 495,Books,BlueNest,355,87704.93,65263.20,22441.73
144,EcoSphere Travel Mug 144,Health,EcoSphere,387,87505.50,64938.60,22566.90
465,Northstar Notebook 465,Office,Northstar,368,87135.04,48874.08,38260.96
55,UrbanEdge Pet Bed 55,Fashion,UrbanEdge,329,86837.77,51152.92,35684.85
357,ZenHaus Yoga Mat 357,Sports,ZenHaus,359,86338.64,32399.75,53938.89
64,NovaCraft Cookware Set 64,Automotive,NovaCraft,350,86310.07,51163.00,35147.07
206,EcoSphere Office Chair 206,Health,EcoSphere,341,85555.19,37683.91,47871.28
321,Apex Desk Lamp 321,Electronics,Apex,346,85554.98,51256.44,34298.54
239,Northstar Desk Lamp 239,Garden,Northstar,366,85176.06,48103.38,37072.68
350,CoreFlex Smart Watch 350,Fashion,CoreFlex,330,85152.76,56499.30,28653.46
67,Northstar Desk Lamp 67,Pets,Northstar,357,84837.89,57095.01,27742.88
240,CoreFlex Cookware Set 240,Beauty,CoreFlex,336,84618.64,40645.92,43972.72
56,BrightPath Face Serum 56,Pets,BrightPath,354,84321.46,57146.22,27175.24
124,TerraWorks Backpack 124,Home & Kitchen,TerraWorks,357,84218.97,39241.44,44977.53
425,Vividly Car Charger 425,Pets,Vividly,320,83935.80,45411.20,38524.60
343,SwiftPro Headphones 343,Beauty,SwiftPro,376,83284.02,49361.28,33922.74
457,BrightPath Desk Lamp 457,Toys,BrightPath,370,83094.65,34665.30,48429.35
118,BlueNest Car Charger 118,Automotive,BlueNest,322,82827.01,55374.34,27452.67
125,Northstar Yoga Mat 125,Fashion,Northstar,334,82801.44,46753.32,36048.12
291,Purely Backpack 291,Sports,Purely,340,82655.76,64338.20,18317.56
47,SwiftPro Running Shoes 47,Books,SwiftPro,292,82382.59,38062.20,44320.39
232,EverPeak Backpack 232,Health,EverPeak,390,82335.23,59467.20,22868.03
204,Apex Bluetooth Speaker 204,Sports,Apex,401,82293.22,47125.52,35167.70
91,BrightPath Headphones 91,Home & Kitchen,BrightPath,369,82287.35,53877.69,28409.66
259,Lumina Desk Lamp 259,Garden,Lumina,339,82119.13,38747.70,43371.43
324,ZenHaus Car Charger 324,Sports,ZenHaus,368,81570.81,52885.28,28685.53
207,UrbanEdge Smart Watch 207,Toys,UrbanEdge,340,81074.43,32487.00,48587.43
416,TerraWorks Garden Hose 416,Garden,TerraWorks,316,81016.71,40391.12,40625.59
410,Lumina Sunglasses 410,Garden,Lumina,335,81011.98,37332.40,43679.58
96,SwiftPro Desk Lamp 96,Sports,SwiftPro,389,80767.01,40315.96,40451.05
201,EcoSphere Backpack 201,Garden,EcoSphere,297,80703.66,59459.40,21244.26
25,UrbanEdge Mixer 25,Home & Kitchen,UrbanEdge,321,80514.74,33201.03,47313.71
234,Northstar Mixer 234,Automotive,Northstar,319,80480.21,45786.07,34694.14
401,Vividly Cookware Set 401,Fashion,Vividly,362,79991.64,59447.64,20544.00
458,ZenHaus Bluetooth Speaker 458,Books,ZenHaus,376,79061.94,48827.36,30234.58
229,BlueNest Bluetooth Speaker 229,Electronics,BlueNest,364,78616.61,52932.88,25683.73
225,BlueNest Running Shoes 225,Books,BlueNest,362,78198.89,53221.24,24977.65
400,Lumina Desk Lamp 400,Books,Lumina,319,77989.92,40410.92,37579.00
146,Purely Coffee Maker 146,Books,Purely,374,77304.58,56200.98,21103.60
447,Apex Backpack 447,Fashion,Apex,349,76538.25,37199.91,39338.34
306,ZenHaus Mixer 306,Automotive,ZenHaus,378,75908.67,35104.86,40803.81
368,EcoSphere Bluetooth Speaker 368,Office,EcoSphere,382,75528.54,56444.32,19084.22
340,NovaCraft Backpack 340,Beauty,NovaCraft,316,74953.44,30181.16,44772.28
168,NovaCraft Smart Watch 168,Health,NovaCraft,317,74518.22,31614.41,42903.81
186,Purely Coffee Maker 186,Home & Kitchen,Purely,364,74427.28,47068.84,27358.44
475,BrightPath Water Bottle 475,Toys,BrightPath,318,74412.86,55761.30,18651.56
60,Purely Garden Hose 60,Fashion,Purely,327,74011.75,41424.36,32587.39
456,SwiftPro Smart Watch 456,Automotive,SwiftPro,347,73945.11,55637.98,18307.13
48,Vividly Smart Watch 48,Automotive,Vividly,335,73680.63,37051.00,36629.63
16,EverPeak Garden Hose 16,Office,EverPeak,351,73576.36,34443.63,39132.73
222,UrbanEdge Backpack 222,Beauty,UrbanEdge,309,73551.06,35346.51,38204.55
142,Northstar Backpack 142,Home & Kitchen,Northstar,339,73367.38,53029.77,20337.61
460,Apex Cookware Set 460,Pets,Apex,280,73246.51,30301.60,42944.91
363,BlueNest Coffee Maker 363,Health,BlueNest,333,73042.64,43523.10,29519.54
470,SwiftPro Mixer 470,Pets,SwiftPro,347,72910.38,27791.23,45119.15
406,BrightPath Desk Lamp 406,Office,BrightPath,350,72560.47,28318.50,44241.97
24,EcoSphere Bluetooth Speaker 24,Office,EcoSphere,354,72491.71,31413.96,41077.75
271,TerraWorks Office Chair 271,Fashion,TerraWorks,364,72367.60,56696.64,15670.96
97,BrightPath Water Bottle 97,Sports,BrightPath,340,71178.29,45478.40,25699.89
483,TerraWorks Travel Mug 483,Garden,TerraWorks,325,71019.98,29984.50,41035.48
104,UrbanEdge Notebook 104,Office,UrbanEdge,336,70934.48,59599.68,11334.80
29,BlueNest Smart Watch 29,Garden,BlueNest,357,70749.03,55042.26,15706.77
322,Apex Notebook 322,Pets,Apex,327,70460.89,30646.44,39814.45
445,NovaCraft Cookware Set 445,Garden,NovaCraft,346,70330.48,40274.40,30056.08
345,Vividly Board Game 345,Electronics,Vividly,366,70307.30,40172.16,30135.14
27,BlueNest Headphones 27,Automotive,BlueNest,322,70214.60,39567.36,30647.24
408,Apex Notebook 408,Garden,Apex,350,69952.40,36869.00,33083.40
374,Apex Headphones 374,Garden,Apex,306,69626.63,40554.18,29072.45
264,Vividly Bluetooth Speaker 264,Fashion,Vividly,386,69512.61,49133.94,20378.67
107,Northstar Smart Watch 107,Health,Northstar,314,68922.17,44239.46,24682.71
87,BrightPath Bluetooth Speaker 87,Fashion,BrightPath,372,68122.68,35827.32,32295.36
213,Apex Smart Watch 213,Fashion,Apex,333,67994.07,54565.38,13428.69
272,EcoSphere Car Charger 272,Office,EcoSphere,363,67914.17,35279.97,32634.20
320,BrightPath Car Charger 320,Beauty,BrightPath,367,67676.60,46484.22,21192.38
135,Lumina Desk Lamp 135,Toys,Lumina,313,67614.18,25953.96,41660.22
191,NovaCraft Yoga Mat 191,Toys,NovaCraft,334,67603.30,33089.38,34513.92
78,TerraWorks Face Serum 78,Fashion,TerraWorks,356,67516.13,40139.00,27377.13
255,CoreFlex Yoga Mat 255,Garden,CoreFlex,339,67223.35,34967.85,32255.50
358,CoreFlex Bluetooth Speaker 358,Automotive,CoreFlex,348,66750.07,39195.24,27554.83
333,TerraWorks Sunglasses 333,Garden,TerraWorks,339,66429.30,43419.12,23010.18
34,BrightPath Headphones 34,Pets,BrightPath,318,66064.59,34954.56,31110.03
258,UrbanEdge Cookware Set 258,Health,UrbanEdge,350,65652.69,25434.50,40218.19
23,Lumina Office Chair 23,Garden,Lumina,378,65020.75,29151.36,35869.39
448,EcoSphere Mixer 448,Health,EcoSphere,369,65013.35,28294.92,36718.43
352,NovaCraft Running Shoes 352,Home & Kitchen,NovaCraft,339,64609.32,26465.73,38143.59
58,Vividly Backpack 58,Books,Vividly,335,63488.78,33778.05,29710.73
396,Purely Travel Mug 396,Health,Purely,321,63473.32,45732.87,17740.45
443,BlueNest Sunglasses 443,Office,BlueNest,340,62962.93,26312.60,36650.33
172,Vividly Headphones 172,Health,Vividly,302,62909.46,39057.66,23851.80
176,NovaCraft Running Shoes 176,Sports,NovaCraft,341,62527.32,26366.12,36161.20
208,EcoSphere Sunglasses 208,Pets,EcoSphere,401,62503.94,32268.47,30235.47
313,UrbanEdge Coffee Maker 313,Books,UrbanEdge,325,62395.51,30342.00,32053.51
59,Vividly Coffee Maker 59,Beauty,Vividly,296,61949.75,32414.96,29534.79
158,NovaCraft Travel Mug 158,Books,NovaCraft,383,61814.07,25128.63,36685.44
487,CoreFlex Notebook 487,Home & Kitchen,CoreFlex,363,61609.86,23783.76,37826.10
348,CoreFlex Mixer 348,Home & Kitchen,CoreFlex,324,61126.50,27779.76,33346.74
205,Northstar Headphones 205,Fashion,Northstar,340,61003.45,31718.60,29284.85
270,BlueNest Headphones 270,Home & Kitchen,BlueNest,365,60618.90,48439.15,12179.75
265,EcoSphere Coffee Maker 265,Books,EcoSphere,396,60406.34,44969.76,15436.58
44,BrightPath Garden Hose 44,Home & Kitchen,BrightPath,419,60148.57,28119.09,32029.48
435,BlueNest Notebook 435,Beauty,BlueNest,368,60112.49,22996.32,37116.17
211,EverPeak Travel Mug 211,Books,EverPeak,413,59686.29,25622.52,34063.77
39,BlueNest Pet Bed 39,Pets,BlueNest,413,59598.73,25705.12,33893.61
360,Northstar Board Game 360,Fashion,Northstar,351,59261.55,24152.31,35109.24
